n,x,y,z,mod_4,glyph,band
438,110,24091,580352190,2,🜂,109
439,110,48291,2331972390,3,🜃,110
441,111,16318,266260806,1,🜁,110
442,111,24532,601794492,2,🜂,110
443,111,49174,2418033102,3,🜃,111
445,112,16614,414020880,1,🜁,111
446,112,24977,623825552,2,🜂,111
447,112,50065,2506454160,3,🜃,112
449,113,16950,7610550,1,🜁,112
450,113,25426,646456050,2,🜂,112
451,113,50964,2597278332,3,🜃,113
453,114,17215,296339010,1,🜁,113
454,114,25879,669696762,2,🜂,113
455,114,51871,2690548770,3,🜃,114
457,115,17520,184152720,1,🜁,114
458,115,26336,693558560,2,🜂,114
459,115,52786,2786309010,3,🜃,115
461,116,17826,476631588,1,🜁,115
462,116,26797,718052412,2,🜂,115
463,116,53709,2884602972,3,🜃,116
465,117,18136,328896360,1,🜁,116
466,117,27262,743189382,2,🜂,116
467,117,54640,2985474960,3,🜃,117
469,118,18448,510474608,1,🜁,117
470,118,27731,768980630,2,🜂,117
471,118,55579,3088969662,3,🜃,118
473,119,18766,96025622,1,🜁,118
474,119,28204,795437412,2,🜂,118
475,119,56526,3195132150,3,🜃,119
477,120,19081,364065480,1,🜁,119
478,120,28681,822571080,2,🜂,119
479,120,57481,3304007880,3,🜃,120
481,121,19404,102666564,1,🜁,120
482,121,29162,850393082,2,🜂,120
483,121,58444,3415642692,3,🜃,121
485,122,19724,583534540,1,🜁,121
486,122,29647,878914962,2,🜂,121
487,122,59415,3530082810,3,🜃,122
489,123,20050,401982450,1,🜁,122
490,123,30136,908148360,2,🜂,122
491,123,60394,3647374842,3,🜃,123
493,124,20378,622873948,1,🜁,123
494,124,30629,938105012,2,🜂,123
495,124,61381,3767565780,3,🜃,124
497,125,20710,257321750,1,🜁,124
498,125,31126,968796750,2,🜂,124
499,125,62376,3890703000,3,🜃,125
