n,x,y,z,tier,method,status
128449,,,,T5,Failed (rational residue or no matching identity),failure
128881,,,,T5,Failed (rational residue or no matching identity),failure
129361,,,,T5,Failed (rational residue or no matching identity),failure
130201,,,,T5,Failed (rational residue or no matching identity),failure
130681,,,,T5,Failed (rational residue or no matching identity),failure
130729,,,,T5,Failed (rational residue or no matching identity),failure
130969,,,,T5,Failed (rational residue or no matching identity),failure
132001,,,,T5,Failed (rational residue or no matching identity),failure
132721,,,,T5,Failed (rational residue or no matching identity),failure
133769,,,,T5,Failed (rational residue or no matching identity),failure
134353,,,,T5,Failed (rational residue or no matching identity),failure
134401,,,,T5,Failed (rational residue or no matching identity),failure
134689,,,,T5,Failed (rational residue or no matching identity),failure
135001,,,,T5,Failed (rational residue or no matching identity),failure
135193,,,,T5,Failed (rational residue or no matching identity),failure
135529,,,,T5,Failed (rational residue or no matching identity),failure
136921,,,,T5,Failed (rational residue or no matching identity),failure
139129,,,,T5,Failed (rational residue or no matching identity),failure
139177,,,,T5,Failed (rational residue or no matching identity),failure
141241,,,,T5,Failed (rational residue or no matching identity),failure
141769,,,,T5,Failed (rational residue or no matching identity),failure
142609,,,,T5,Failed (rational residue or no matching identity),failure
142969,,,,T5,Failed (rational residue or no matching identity),failure
143041,,,,T5,Failed (rational residue or no matching identity),failure
143641,,,,T5,Failed (rational residue or no matching identity),failure
143761,,,,T5,Failed (rational residue or no matching identity),failure
144169,,,,T5,Failed (rational residue or no matching identity),failure
144241,,,,T5,Failed (rational residue or no matching identity),failure
144673,,,,T5,Failed (rational residue or no matching identity),failure
146137,,,,T5,Failed (rational residue or no matching identity),failure
146521,,,,T5,Failed (rational residue or no matching identity),failure
146689,,,,T5,Failed (rational residue or no matching identity),failure
147073,,,,T5,Failed (rational residue or no matching identity),failure
148009,,,,T5,Failed (rational residue or no matching identity),failure
148201,,,,T5,Failed (rational residue or no matching identity),failure
148873,,,,T5,Failed (rational residue or no matching identity),failure
148921,,,,T5,Failed (rational residue or no matching identity),failure
149449,,,,T5,Failed (rational residue or no matching identity),failure
151009,,,,T5,Failed (rational residue or no matching identity),failure
151321,,,,T5,Failed (rational residue or no matching identity),failure
151681,,,,T5,Failed (rational residue or no matching identity),failure
152041,,,,T5,Failed (rational residue or no matching identity),failure
153409,,,,T5,Failed (rational residue or no matching identity),failure
153841,,,,T5,Failed (rational residue or no matching identity),failure
154633,,,,T5,Failed (rational residue or no matching identity),failure
154681,,,,T5,Failed (rational residue or no matching identity),failure
154753,,,,T5,Failed (rational residue or no matching identity),failure
154849,,,,T5,Failed (rational residue or no matching identity),failure
155593,,,,T5,Failed (rational residue or no matching identity),failure
155713,,,,T5,Failed (rational residue or no matching identity),failure
155809,,,,T5,Failed (rational residue or no matching identity),failure
155929,,,,T5,Failed (rational residue or no matching identity),failure
156001,,,,T5,Failed (rational residue or no matching identity),failure
156529,,,,T5,Failed (rational residue or no matching identity),failure
156601,,,,T5,Failed (rational residue or no matching identity),failure
157561,,,,T5,Failed (rational residue or no matching identity),failure
157609,,,,T5,Failed (rational residue or no matching identity),failure
159553,,,,T5,Failed (rational residue or no matching identity),failure
159889,,,,T5,Failed (rational residue or no matching identity),failure
160201,,,,T5,Failed (rational residue or no matching identity),failure
160441,,,,T5,Failed (rational residue or no matching identity),failure
160801,,,,T5,Failed (rational residue or no matching identity),failure
160969,,,,T5,Failed (rational residue or no matching identity),failure
162049,,,,T5,Failed (rational residue or no matching identity),failure
162121,,,,T5,Failed (rational residue or no matching identity),failure
163249,,,,T5,Failed (rational residue or no matching identity),failure
163729,,,,T5,Failed (rational residue or no matching identity),failure
163993,,,,T5,Failed (rational residue or no matching identity),failure
165169,,,,T5,Failed (rational residue or no matching identity),failure
